Runtime for cryst_R2SCAN-D3paw900, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
triazine             cryst R2SCAN-D3paw900 C12H12N12      C2/c      4 2  2 1  2  18   30   54  178 1728   13   1  0.02  725  72 72  4 6.3.1/LinuxIFC
triphenylbenzene     cryst R2SCAN-D3paw900 C96H72         Pna21     4 1  4 1  1 168  228  324 1581  192   16   1  0.26  349  72 72  4 6.3.1/LinuxIFC
triphenylene         cryst R2SCAN-D3paw900 C72H48         P212121   4 1  4 1  1 120  168  234 1089  192   15   1  0.13  430  72 72  4 6.3.1/LinuxIFC
triphenyltriazine    cryst R2SCAN-D3paw900 C84H60N12      P21/c     4 1  4 1  1 156  228  324 1438  192   15   1  0.27  425  72 72  4 6.3.1/LinuxIFC
triptycene           cryst R2SCAN-D3paw900 C80H56         P212121   4 1  4 1  1 136  188  270 1310  192   16   1  0.16  341  72 72  4 6.3.1/LinuxIFC
TTAa                 cryst R2SCAN-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  807  288   15   1  0.08  483  72 72  4 6.3.1/LinuxIFC
TTAb                 cryst R2SCAN-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  807  432   15   1  0.13  487  72 72  4 6.3.1/LinuxIFC
TTF                  cryst R2SCAN-D3paw900 C12H8S8        P21/c     4 1  2 1  2  28   52   72  380 1386   13   1  0.05  574  72 72  4 6.3.1/LinuxIFC
TTPa                 cryst R2SCAN-D3paw900 C40H16N4S8     P21/n     4 1  2 1  2  68  122  162  785  288   14   1  0.08  521  72 72  4 6.3.1/LinuxIFC
TTPb                 cryst R2SCAN-D3paw900 C80H32N8S16    P21/a     4 1  4 2  2 136  244  324 1590  192   15   1  0.25  410  72 72  4 6.3.1/LinuxIFC
TTPc                 cryst R2SCAN-D3paw900 C40H16N4S8     P21       2 1  2 1  1  68  122  162  805  576   14   1  0.16  523  72 72  4 6.3.1/LinuxIFC
TTTT                 cryst R2SCAN-D3paw900 C20H8S8        P21/n     4 1  2 1  2  36   68   90  454 1024   15   1  0.07  542  72 72  4 6.3.1/LinuxIFC
