Runtime for cryst_R2SCAN-D3paw900_sp, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
OPV3CN               cryst R2SCAN-D3paw900 C96H64N8       Pbca      8 1  4 1  2 168  244  342 1669   16   15   1  0.03  487  72 72  4 6.3.1/LinuxIFC
PBBTZ                cryst R2SCAN-D3paw900 C64H36N12S8    P21/n     4 1  4 1  1 120  200  270 1257   12   14   1  0.01  648  72 72  4 6.3.1/LinuxIFC
PDI                  cryst R2SCAN-D3paw900 C48H20N4O8     P21/n     4 1  2 1  2  80  140  198  750   36   14   1  0.01  545  72 72  4 6.3.1/LinuxIFC
pentacene            cryst R2SCAN-D3paw900 C44H28         P-1       2 1  2 2  2  72  102  144  646   40   15   1  0.01  576  72 72  4 6.3.1/LinuxIFC
pentaceneN2Cl4       cryst R2SCAN-D3paw900 C40Cl8H16N4    P21/n     4 1  2 1  2  68  126  162  795   32   14   1  0.01  697  72 72  4 6.3.1/LinuxIFC
pentaceneN4O2        cryst R2SCAN-D3paw900 C36H16N8O4     P21/n     4 1  2 1  2  64  112  162  624   64   13   1  0.01  528  72 72  4 6.3.1/LinuxIFC
perylene             cryst R2SCAN-D3paw900 C40H24         P21/c     4 1  2 1  2  64   92  126  580   45   14   1  0.00  335  72 72  4 6.3.1/LinuxIFC
phenazine            cryst R2SCAN-D3paw900 C24H16N4       P21/n     4 1  2 1  2  44   66   90  425  105   14   1  0.00  308  72 72  4 6.3.1/LinuxIFC
PTCDA                cryst R2SCAN-D3paw900 C48H16O12      P21/c     4 1  2 1  2  76  140  180  745   48   14   1  0.02  491  72 72  4 6.3.1/LinuxIFC
pyrene               cryst R2SCAN-D3paw900 C64H40         P21/a     4 1  4 1  1 104  148  216  991   27   16   1  0.01  354  72 72  4 6.3.1/LinuxIFC
quinacridone         cryst R2SCAN-D3paw900 C40H24N4O4     P21/c     4 1  2 1  2  72  114  162  669   32   14   1  0.01  732  72 72  4 6.3.1/LinuxIFC
spirobidibenzosilole cryst R2SCAN-D3paw900 C96H64Si4      P41212    8 1  4 1  2 164  232  324 1686   32   17   1  0.04  322  72 72  4 6.3.1/LinuxIFC
spirobifluorene      cryst R2SCAN-D3paw900 C100H64        P21/c     4 1  4 1  1 164  232  324 1638   18   16   1  0.03  361  72 72  4 6.3.1/LinuxIFC
stilbene             cryst R2SCAN-D3paw900 C56H48         P21/a     4 1  4 2  2 104  136  198  960   84   16   1  0.03  321  72 72  4 6.3.1/LinuxIFC
TCNQ                 cryst R2SCAN-D3paw900 C48H16N16      C2/c      4 2  2 1  2  40   72  108  490   72   14   1  0.01  492  72 72  4 6.3.1/LinuxIFC
TCNQ-F2              cryst R2SCAN-D3paw900 C24F4H4N8      C2/m      4 2  1 1  4  20   42   54  248  196   13   1  0.00  513  72 72  4 6.3.1/LinuxIFC
TCNQ-F4              cryst R2SCAN-D3paw900 C48F16N16      Pbca      8 1  4 1  2  80  192  234 1059   24   15   1  0.02  550  72 72  4 6.3.1/LinuxIFC
tetracene            cryst R2SCAN-D3paw900 C36H24         P-1       2 1  2 2  2  60   84  126  554   90   14   1  0.01  600  72 72  4 6.3.1/LinuxIFC
thiazolothiazolePh   cryst R2SCAN-D3paw900 C32H20N4S4     P21/c     4 1  2 1  2  60   96  144  638   36   14   1  0.01  513  72 72  4 6.3.1/LinuxIFC
TPP                  cryst R2SCAN-D3paw900 C72H60P4       P21/c     4 1  4 1  1 136  184  270 1354   24   15   1  0.03  515  72 72  4 6.3.1/LinuxIFC
triazine             cryst R2SCAN-D3paw900 C12H12N12      C2/c      4 2  2 1  2  18   30   54  178  216   13   1  0.00  481  72 72  4 6.3.1/LinuxIFC
triphenylbenzene     cryst R2SCAN-D3paw900 C96H72         Pna21     4 1  4 1  1 168  228  324 1581   24   16   1  0.04  397  72 72  4 6.3.1/LinuxIFC
triphenylene         cryst R2SCAN-D3paw900 C72H48         P212121   4 1  4 1  1 120  168  234 1089   24   15   1  0.02  613  72 72  4 6.3.1/LinuxIFC
triphenyltriazine    cryst R2SCAN-D3paw900 C84H60N12      P21/c     4 1  4 1  1 156  228  324 1438   24   15   1  0.03  352  72 72  4 6.3.1/LinuxIFC
triptycene           cryst R2SCAN-D3paw900 C80H56         P212121   4 1  4 1  1 136  188  270 1310   32   17   1  0.04  488  72 72  4 6.3.1/LinuxIFC
TTAa                 cryst R2SCAN-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  807   36   15   1  0.01  454  72 72  4 6.3.1/LinuxIFC
TTAb                 cryst R2SCAN-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  807   54   15   1  0.01  401  72 72  4 6.3.1/LinuxIFC
TTF                  cryst R2SCAN-D3paw900 C12H8S8        P21/c     4 1  2 1  2  28   52   72  380   56   13   1  0.00  600  72 72  4 6.3.1/LinuxIFC
TTPa                 cryst R2SCAN-D3paw900 C40H16N4S8     P21/n     4 1  2 1  2  68  122  162  785   36   14   1  0.01  483  72 72  4 6.3.1/LinuxIFC
TTPb                 cryst R2SCAN-D3paw900 C80H32N8S16    P21/a     4 1  4 2  2 136  244  324 1590   16   15   1  0.03  595  72 72  4 6.3.1/LinuxIFC
TTPc                 cryst R2SCAN-D3paw900 C40H16N4S8     P21       2 1  2 1  1  68  122  162  805   24   14   1  0.01  808  72 72  4 6.3.1/LinuxIFC
TTTT                 cryst R2SCAN-D3paw900 C20H8S8        P21/n     4 1  2 1  2  36   68   90  454   72   15   1  0.00  440  72 72  4 6.3.1/LinuxIFC
