Runtime for cryst_PBE-D3paw900_sp, 2023-03-05
 sys                 conf  method       formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
HMTTF                cryst PBE-D3paw900 C48H48S16      P21/c     4 1  4 1  1 112  168  234 1143   54   14   1  0.01   80  72 72  4 6.3.1/LinuxIFC
ICZb                 cryst PBE-D3paw900 C36H24N4       P21/c     4 1  2 1  2  64   94  144  589   48   14   1  0.00  119  72 72  4 6.3.1/LinuxIFC
ICZbCl2c             cryst PBE-D3paw900 C36Cl4H20N4    P21/c     4 1  2 1  2  64  106  144  662   48   13   1  0.00  127  72 72  4 6.3.1/LinuxIFC
IF12b                cryst PBE-D3paw900 C40H28         P21/n     4 1  2 1  2  68   94  144  627   48   14   1  0.00  126  72 72  4 6.3.1/LinuxIFC
IF21a                cryst PBE-D3paw900 C80H56         P21/c     4 1  4 1  1 136  188  270 1311   24   14   1  0.01  102  72 72  4 6.3.1/LinuxIFC
indigo               cryst PBE-D3paw900 C32H20N4O4     P21/n     4 1  2 1  2  60   96  144  577   45   14   1  0.00   96  72 72  4 6.3.1/LinuxIFC
indigoCl2            cryst PBE-D3paw900 C32Cl4H16N4O4  P21/c     4 1  2 1  2  60  108  144  663   63   14   1  0.00   99  72 72  4 6.3.1/LinuxIFC
naphthalene          cryst PBE-D3paw900 C20H16         P21/c     4 1  2 1  2  36   48   72  344   80   13   1  0.00  121  72 72  4 6.3.1/LinuxIFC
NDFPh                cryst PBE-D3paw900 C52H32O4       P21/c     4 1  2 1  2  88  132  180  871   40   14   1  0.00  116  72 72  4 6.3.1/LinuxIFC
NDI                  cryst PBE-D3paw900 C28H12N4O8     P-1       2 1  2 2  2  52   96  126  524   64   13   1  0.00  148  72 72  4 6.3.1/LinuxIFC
NDT                  cryst PBE-D3paw900 C56H32S8       P21/c     4 1  4 2  2  96  152  216 1055   32   14   1  0.00  133  72 72  4 6.3.1/LinuxIFC
oligothiophene4      cryst PBE-D3paw900 C32H20S8       P21/a     4 1  2 1  2  60   98  144  709  120   14   1  0.00   96  72 72  4 6.3.1/LinuxIFC
oligothiophene6      cryst PBE-D3paw900 C48H28S12      P21/a     4 1  2 1  2  88  146  198 1031   48   14   1  0.01  125  72 72  4 6.3.1/LinuxIFC
OPV3CN               cryst PBE-D3paw900 C96H64N8       Pbca      8 1  4 1  2 168  244  342 1703   16   15   1  0.01  105  72 72  4 6.3.1/LinuxIFC
PBBTZ                cryst PBE-D3paw900 C64H36N12S8    P21/n     4 1  4 1  1 120  200  270 1271   12   14   1  0.00  144  72 72  4 6.3.1/LinuxIFC
PDI                  cryst PBE-D3paw900 C48H20N4O8     P21/n     4 1  2 1  2  80  140  198  773   36   14   1  0.00  130  72 72  4 6.3.1/LinuxIFC
pentacene            cryst PBE-D3paw900 C44H28         P-1       2 1  2 2  2  72  102  144  662   40   14   1  0.00  131  72 72  4 6.3.1/LinuxIFC
pentaceneN2Cl4       cryst PBE-D3paw900 C40Cl8H16N4    P21/n     4 1  2 1  2  68  126  162  814   32   14   1  0.00  154  72 72  4 6.3.1/LinuxIFC
pentaceneN4O2        cryst PBE-D3paw900 C36H16N8O4     P21/n     4 1  2 1  2  64  112  162  635   64   14   1  0.00  121  72 72  4 6.3.1/LinuxIFC
perylene             cryst PBE-D3paw900 C40H24         P21/c     4 1  2 1  2  64   92  126  593   45   14   1  0.00   79  72 72  4 6.3.1/LinuxIFC
phenazine            cryst PBE-D3paw900 C24H16N4       P21/n     4 1  2 1  2  44   66   90  433  105   14   1  0.00   78  72 72  4 6.3.1/LinuxIFC
PTCDA                cryst PBE-D3paw900 C48H16O12      P21/c     4 1  2 1  2  76  140  180  767   48   13   1  0.00  113  72 72  4 6.3.1/LinuxIFC
pyrene               cryst PBE-D3paw900 C64H40         P21/a     4 1  4 1  1 104  148  216 1002   27   14   1  0.00   84  72 72  4 6.3.1/LinuxIFC
quinacridone         cryst PBE-D3paw900 C40H24N4O4     P21/c     4 1  2 1  2  72  114  162  689   32   14   1  0.00  167  72 72  4 6.3.1/LinuxIFC
spirobidibenzosilole cryst PBE-D3paw900 C96H64Si4      P41212    8 1  4 1  2 164  232  324 1721   32   15   1  0.01   68  72 72  4 6.3.1/LinuxIFC
spirobifluorene      cryst PBE-D3paw900 C100H64        P21/c     4 1  4 1  1 164  232  324 1663   18   15   1  0.01   81  72 72  4 6.3.1/LinuxIFC
stilbene             cryst PBE-D3paw900 C56H48         P21/a     4 1  4 2  2 104  136  198  982   84   14   1  0.01   73  72 72  4 6.3.1/LinuxIFC
TCNQ                 cryst PBE-D3paw900 C48H16N16      C2/c      4 2  2 1  2  40   72  108  500   72   14   1  0.00  122  72 72  4 6.3.1/LinuxIFC
TCNQ-F2              cryst PBE-D3paw900 C24F4H4N8      C2/m      4 2  1 1  4  20   42   54  257  196   13   1  0.00  143  72 72  4 6.3.1/LinuxIFC
TCNQ-F4              cryst PBE-D3paw900 C48F16N16      Pbca      8 1  4 1  2  80  192  234 1106   24   15   1  0.00  125  72 72  4 6.3.1/LinuxIFC
tetracene            cryst PBE-D3paw900 C36H24         P-1       2 1  2 2  2  60   84  126  561   90   14   1  0.00  132  72 72  4 6.3.1/LinuxIFC
thiazolothiazolePh   cryst PBE-D3paw900 C32H20N4S4     P21/c     4 1  2 1  2  60   96  144  648   36   14   1  0.00  137  72 72  4 6.3.1/LinuxIFC
TPP                  cryst PBE-D3paw900 C72H60P4       P21/c     4 1  4 1  1 136  184  270 1375   24   14   1  0.01  124  72 72  4 6.3.1/LinuxIFC
triazine             cryst PBE-D3paw900 C12H12N12      C2/c      4 2  2 1  2  18   30   54  182  216   13   1  0.00  207  72 72  4 6.3.1/LinuxIFC
triphenylbenzene     cryst PBE-D3paw900 C96H72         Pna21     4 1  4 1  1 168  228  324 1615   24   14   1  0.01   88  72 72  4 6.3.1/LinuxIFC
triphenylene         cryst PBE-D3paw900 C72H48         P212121   4 1  4 1  1 120  168  234 1110   24   14   1  0.00  133  72 72  4 6.3.1/LinuxIFC
triphenyltriazine    cryst PBE-D3paw900 C84H60N12      P21/c     4 1  4 1  1 156  228  324 1476   24   15   1  0.01   75  72 72  4 6.3.1/LinuxIFC
triptycene           cryst PBE-D3paw900 C80H56         P212121   4 1  4 1  1 136  188  270 1341   32   15   1  0.01  105  72 72  4 6.3.1/LinuxIFC
TTAa                 cryst PBE-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  815   36   14   1  0.00  104  72 72  4 6.3.1/LinuxIFC
TTAb                 cryst PBE-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  814   54   14   1  0.00   96  72 72  4 6.3.1/LinuxIFC
TTF                  cryst PBE-D3paw900 C12H8S8        P21/c     4 1  2 1  2  28   52   72  380   56   13   1  0.00  165  72 72  4 6.3.1/LinuxIFC
TTPa                 cryst PBE-D3paw900 C40H16N4S8     P21/n     4 1  2 1  2  68  122  162  794   36   14   1  0.00  112  72 72  4 6.3.1/LinuxIFC
TTPb                 cryst PBE-D3paw900 C80H32N8S16    P21/a     4 1  4 2  2 136  244  324 1608   16   14   1  0.01  132  72 72  4 6.3.1/LinuxIFC
TTPc                 cryst PBE-D3paw900 C40H16N4S8     P21       2 1  2 1  1  68  122  162  815   24   14   1  0.00  183  72 72  4 6.3.1/LinuxIFC
TTTT                 cryst PBE-D3paw900 C20H8S8        P21/n     4 1  2 1  2  36   68   90  459   72   13   1  0.00  124  72 72  4 6.3.1/LinuxIFC
