Runtime for cryst_R2SCAN-D3paw900_cg3, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
TCNQ                 cryst R2SCAN-D3paw900 C48H16N16      C2/c      4 2  2 1  2  40   72  108  490   72  148  46  0.07  597  72 72  4 6.3.1/LinuxIFC
TCNQ-F2              cryst R2SCAN-D3paw900 C24F4H4N8      C2/m      4 2  1 1  4  20   42   54  248  196  149  37  0.03  542  72 72  4 6.3.1/LinuxIFC
TCNQ-F4              cryst R2SCAN-D3paw900 C48F16N16      Pbca      8 1  4 1  2  80  192  234 1059   24  224  57  0.30  684  72 72  4 6.3.1/LinuxIFC
tetracene            cryst R2SCAN-D3paw900 C36H24         P-1       2 1  2 2  2  60   84  126  554   90   88  30  0.10  684  72 72  4 6.3.1/LinuxIFC
thiazolothiazolePh   cryst R2SCAN-D3paw900 C32H20N4S4     P21/c     4 1  2 1  2  60   96  144  638   36  123  42  0.07  665  72 72  4 6.3.1/LinuxIFC
TPP                  cryst R2SCAN-D3paw900 C72H60P4       P21/c     4 1  4 1  1 136  184  270 1354   24  153  56  0.40  735  72 72  4 6.3.1/LinuxIFC
triazine             cryst R2SCAN-D3paw900 C12H12N12      C2/c      4 2  2 1  2  18   30   54  178  216   80  24  0.01  650  72 72  4 6.3.1/LinuxIFC
triphenylbenzene     cryst R2SCAN-D3paw900 C96H72         Pna21     4 1  4 1  1 168  228  324 1581   24  240  90  0.74  523  72 72  4 6.3.1/LinuxIFC
triphenylene         cryst R2SCAN-D3paw900 C72H48         P212121   4 1  4 1  1 120  168  234 1089   24  132  46  0.26  769  72 72  4 6.3.1/LinuxIFC
triphenyltriazine    cryst R2SCAN-D3paw900 C84H60N12      P21/c     4 1  4 1  1 156  228  324 1438   24  203  64  0.45  426  72 72  4 6.3.1/LinuxIFC
triptycene           cryst R2SCAN-D3paw900 C80H56         P212121   4 1  4 1  1 136  188  270 1310   32  165  58  0.47  605  72 72  4 6.3.1/LinuxIFC
TTAa                 cryst R2SCAN-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  807   36   80  23  0.06  533  72 72  4 6.3.1/LinuxIFC
TTAb                 cryst R2SCAN-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  807   54   64  15  0.07  480  72 72  4 6.3.1/LinuxIFC
TTF                  cryst R2SCAN-D3paw900 C12H8S8        P21/c     4 1  2 1  2  28   52   72  380   56   75  22  0.01  663  72 72  4 6.3.1/LinuxIFC
TTPa                 cryst R2SCAN-D3paw900 C40H16N4S8     P21/n     4 1  2 1  2  68  122  162  785   36  120  41  0.10  593  72 72  4 6.3.1/LinuxIFC
TTPb                 cryst R2SCAN-D3paw900 C80H32N8S16    P21/a     4 1  4 2  2 136  244  324 1590   16  108  33  0.27  722  72 72  4 6.3.1/LinuxIFC
TTPc                 cryst R2SCAN-D3paw900 C40H16N4S8     P21       2 1  2 1  1  68  122  162  805   24   94  29  0.08  974  72 72  4 6.3.1/LinuxIFC
TTTT                 cryst R2SCAN-D3paw900 C20H8S8        P21/n     4 1  2 1  2  36   68   90  454   72   96  33  0.03  576  72 72  4 6.3.1/LinuxIFC
